"Source","Source ID","Category","Category ID","Name","Palette","Threadcount","Overview","Comment","Copyright","Source URL","Update date"
"Weddslist","","Robert Bradford","rb","Carnegie","R#c80000; G#004c00; B#000064; K#000000; Y#ffc800; ","Y/1 G2 R1 G1 R2 G6 K6 R1 B6 R2 B1 R1 B/3","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Chisholm","R#c80000; G#004c00; B#5a3094; W#d0d0d0; ","R/12 B2 W1 B2 R3 G8 R3 B/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Chisholm D","R#c80000; G#004c00; B#5a3094; W#d0d0d0; ","R/6 W1 R24 B6 G2 B1 G2 B1 G12 R/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Chisholm VS","R#c80000; G#004c00; B#000064; K#000000; W#d0d0d0; ","R/6 W1 R24 B6 G2 K1 G2 K1 G12 R/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Clan Chattan","R#c80000; G#004c00; K#000000; W#d0d0d0; Y#ffc800; N#808080; ","R/60 G2 W1 G15 W2 Y3 R3 K1 R3 Y3 N2 W16 K4 R4 Y6 W/2","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Clan Chattan D","R#c80000; G#004c00; K#000000; W#d0d0d0; Y#ffff00; N#a0a0a0; ","R/60 K2 W1 G16 W2 Y3 R3 K1 R3 Y3 N2 W16 K4 R4 Y6 W/2","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Clark","R#c80000; G#004c00; K#000000; W#d0d0d0; ","W/12 K4 G4 K4 R/12","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Clergy","Y#707070; K#000000; W#d0d0d0; ","W/1 K5 W1 Y4 W1 K26 W1 K10 Y5 K2 Y5 K10 W1 Y4 W1 K5 W/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Cochrane","R#c80000; G#004c00; B#000064; K#000000; W#d0d0d0; Y#ffc800; ","G/16 R2 G2 R1 G3 R1 G2 R2 G12 K12 R1 B16 R2 B8 Y/2","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Cochrane LC","R#c80000; G#004c00; B#000064; K#000000; Y#ffc800; ","G/22 R4 G2 R2 G2 R4 G12 K12 R2 B10 R4 B4 Y/3","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Cockburn","R#c80000; G#004c00; B#000064; K#000000; W#d0d0d0; Y#ffc800; ","G/36 K1 G1 K1 G1 K1 B12 K1 W1 K1 B12 K1 Y1 K1 G12 K2 R/2","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Colquhoun VS","R#c80000; G#004c00; B#000064; K#000000; W#d0d0d0; ","B/4 K2 B16 W1 K8 G24 R/4","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Comyn","R#c80000; G#004c00; K#000000; W#d0d0d0; ","R/1 G4 W1 G4 R2 G2 R9 K/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Crawford","R#c80000; G#004c00; W#d0d0d0; ","R/6 W2 R30 G12 R3 G12 R/3","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Cumming LO","R#c80000; G#004c00; K#000000; W#d0d0d0; Y#ffc800; ","W/4 K2 W4 K10 Y1 G10 R4 W1 R/4","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Cumming SM","R#c80000; G#004c00; K#000000; W#d0d0d0; ","K/2 R18 G6 R3 G9 W1 G9 R/3","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Cumming VS","R#c80000; G#004c00; K#000000; W#d0d0d0; ","K/2 R24 G4 R2 G4 R4 G8 W1 G8 R/4","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
